#Sample	enterotype
SRR15885102	2
SRR15885103	3
SRR15885104	3
SRR15885105	2
SRR15885106	3
SRR15885107	1
SRR15885108	3
SRR15885109	1
SRR15885110	3
SRR15885111	1
SRR15885112	1
SRR15885113	1
SRR15885114	1
SRR15885115	1
SRR15885116	2
SRR15885117	2
SRR15885118	1
SRR15885120	1
SRR15885121	1
SRR15885122	2
SRR15885123	1
SRR15885124	1
SRR15885126	2
SRR15885127	1
SRR15885128	3
SRR15885129	1
SRR15885130	1
SRR15885131	3
SRR15885132	1
SRR15885133	3
SRR15885134	1
SRR15885135	1
SRR15885136	1
SRR15885137	1
SRR15885138	2
SRR15885139	3
SRR15885140	2
SRR15885141	1
SRR15885142	1
SRR15885143	1
SRR15885144	1
SRR15885145	2
SRR15885146	3
SRR15885147	2
SRR15885148	2
SRR15885149	3
SRR15885150	1
SRR15885151	1
SRR15885152	1
SRR15885153	1
SRR15885154	3
SRR15885155	3
SRR15885156	1
SRR15885157	1
SRR15885158	2
SRR15885159	1
SRR15885160	1
SRR15885161	3
SRR15885162	1
SRR15885163	1
SRR15885164	1
SRR15885165	1
SRR15885166	2
SRR15885167	1
SRR15885168	3
SRR15885169	1
SRR15885170	1
SRR15885171	1
SRR15885172	2
SRR15885173	1
SRR15885174	1
SRR15885175	1
SRR15885176	3
SRR15885177	3
SRR15885178	1
SRR15885179	1
SRR15885180	3
SRR15885181	3
SRR15885182	2
SRR15885183	2
SRR15885184	1
SRR15885185	1
SRR15885186	1
SRR15885187	1
SRR15885188	2
SRR15885189	1
SRR15885190	1
SRR15885191	2
SRR15885192	1
SRR15885193	1
SRR15885194	1
SRR15885195	2
SRR15885196	1
SRR15885197	3
SRR15885198	3
SRR15885199	2
SRR15885200	3
SRR15885201	1
SRR15885202	3
SRR15885203	3
SRR15885204	3
SRR15885205	3
SRR15885206	3
SRR15885207	3
SRR15885208	1
SRR15885209	1
SRR15885210	1
SRR15885211	1
SRR15885212	1
SRR15885213	1
SRR15885214	2
SRR15885215	2
SRR15885216	3
SRR15885217	1
SRR15885218	2
SRR15885219	1
SRR15885220	1
SRR15885221	1
SRR15885222	1
SRR15885223	1
SRR15885224	2
SRR15885225	1
SRR15885226	3
SRR15885227	3
SRR15885228	1
SRR15885229	1
SRR15885230	3
SRR15885231	3
SRR15885232	1
SRR15885233	3
SRR15885234	3
SRR15885235	1
SRR15885236	1
SRR15885237	1
SRR15885238	2
SRR15885239	3
SRR15885240	3
SRR15885242	1
SRR15885243	1
SRR15885244	3
SRR15885245	3
SRR15885246	3
SRR15885247	1
SRR15885248	3
SRR15885249	1
SRR15885250	2
SRR15885251	3
SRR15885252	1
SRR15885253	3
SRR15885254	3
SRR15885255	1
SRR15885256	2
