ID	observed_otus
SRR15885102	678
SRR15885103	579
SRR15885104	832
SRR15885105	396
SRR15885106	673
SRR15885107	466
SRR15885108	798
SRR15885109	463
SRR15885110	818
SRR15885111	512
SRR15885112	620
SRR15885113	216
SRR15885114	864
SRR15885115	285
SRR15885116	468
SRR15885117	403
SRR15885118	263
SRR15885120	312
SRR15885121	399
SRR15885122	674
SRR15885123	732
SRR15885124	432
SRR15885126	490
SRR15885127	637
SRR15885128	943
SRR15885129	646
SRR15885130	781
SRR15885131	315
SRR15885132	287
SRR15885133	468
SRR15885134	548
SRR15885135	979
SRR15885136	743
SRR15885137	745
SRR15885138	759
SRR15885139	553
SRR15885140	641
SRR15885141	768
SRR15885142	677
SRR15885143	241
SRR15885144	427
SRR15885145	901
SRR15885146	388
SRR15885147	886
SRR15885148	811
SRR15885149	973
SRR15885150	558
SRR15885151	762
SRR15885152	660
SRR15885153	421
SRR15885154	711
SRR15885155	838
SRR15885156	773
SRR15885157	599
SRR15885158	775
SRR15885159	578
SRR15885160	728
SRR15885161	888
SRR15885162	443
SRR15885163	590
SRR15885164	724
SRR15885165	700
SRR15885166	618
SRR15885167	452
SRR15885168	527
SRR15885169	279
SRR15885170	693
SRR15885171	791
SRR15885172	557
SRR15885173	585
SRR15885174	173
SRR15885175	509
SRR15885176	661
SRR15885177	664
SRR15885178	326
SRR15885179	190
SRR15885180	374
SRR15885181	710
SRR15885182	613
SRR15885183	554
SRR15885184	437
SRR15885185	362
SRR15885186	483
SRR15885187	527
SRR15885188	864
SRR15885189	477
SRR15885190	649
SRR15885191	643
SRR15885192	577
SRR15885193	78
SRR15885194	305
SRR15885195	750
SRR15885196	514
SRR15885197	625
SRR15885198	422
SRR15885199	538
SRR15885200	367
SRR15885201	568
SRR15885202	316
SRR15885203	619
SRR15885204	864
SRR15885205	711
SRR15885206	713
SRR15885207	660
SRR15885208	580
SRR15885209	340
SRR15885210	321
SRR15885211	452
SRR15885212	691
SRR15885213	691
SRR15885214	554
SRR15885215	733
SRR15885216	289
SRR15885217	530
SRR15885218	321
SRR15885219	247
SRR15885220	105
SRR15885221	249
SRR15885222	247
SRR15885223	528
SRR15885224	494
SRR15885225	500
SRR15885226	608
SRR15885227	337
SRR15885228	422
SRR15885229	261
SRR15885230	360
SRR15885231	507
SRR15885232	247
SRR15885233	125
SRR15885234	665
SRR15885235	620
SRR15885236	633
SRR15885237	526
SRR15885238	498
SRR15885239	209
SRR15885240	774
SRR15885242	824
SRR15885243	493
SRR15885244	616
SRR15885245	597
SRR15885246	895
SRR15885247	215
SRR15885248	446
SRR15885249	885
SRR15885250	598
SRR15885251	1020
SRR15885252	676
SRR15885253	311
SRR15885254	1031
SRR15885255	673
SRR15885256	757
