#Sample	enterotype
SRR15884199	3
SRR15884200	1
SRR15884201	3
SRR15884202	3
SRR15884203	1
SRR15884204	3
SRR15884205	1
SRR15884206	1
SRR15884207	3
SRR15884208	3
SRR15884209	1
SRR15884210	3
SRR15884211	3
SRR15884212	3
SRR15884213	1
SRR15884214	1
SRR15884215	3
SRR15884216	3
SRR15884217	1
SRR15884218	1
SRR15884219	3
SRR15884220	1
SRR15884221	3
SRR15884222	1
SRR15884223	2
SRR15884224	3
SRR15884225	1
SRR15884226	3
SRR15884227	1
SRR15884228	3
SRR15884229	3
SRR15884230	1
SRR15884231	2
SRR15884232	2
SRR15884233	1
SRR15884234	1
SRR15884235	1
SRR15884236	1
SRR15884237	1
SRR15884238	1
SRR15884239	2
SRR15884240	3
SRR15884241	2
SRR15884242	2
SRR15884243	3
SRR15884244	3
SRR15884245	1
SRR15884246	2
SRR15884247	1
SRR15884248	2
SRR15884249	1
SRR15884250	1
SRR15884251	3
SRR15884252	3
SRR15884253	2
SRR15884254	3
SRR15884255	1
SRR15884256	2
SRR15884257	1
SRR15884258	1
SRR15884259	3
SRR15884260	3
SRR15884261	3
SRR15884262	3
SRR15884263	3
SRR15884264	3
SRR15884265	3
SRR15884266	2
SRR15884267	1
SRR15884268	1
SRR15884269	3
SRR15884270	1
SRR15884271	1
SRR15884272	3
SRR15884273	3
SRR15884274	3
SRR15884275	1
SRR15884276	3
SRR15884277	1
SRR15884278	3
SRR15884279	3
SRR15884280	2
SRR15884281	1
SRR15884282	1
SRR15884283	1
SRR15884284	1
SRR15884285	3
SRR15884286	2
SRR15884287	3
SRR15884288	2
SRR15884289	3
SRR15884290	1
SRR15884291	3
SRR15884292	1
SRR15884293	2
SRR15884294	1
SRR15884295	1
SRR15884296	1
SRR15884297	2
SRR15884298	3
SRR15884299	1
SRR15884300	3
SRR15884301	3
SRR15884302	2
SRR15884303	1
SRR15884304	1
SRR15884305	3
SRR15884306	1
SRR15884307	1
SRR15884308	1
SRR15884309	1
SRR15884310	3
SRR15884311	3
SRR15884312	3
SRR15884313	3
SRR15884314	1
SRR15884315	3
SRR15884316	3
SRR15884317	3
SRR15884318	1
SRR15884319	1
SRR15884320	3
SRR15884321	3
SRR15884322	3
SRR15884323	3
SRR15884324	1
SRR15884325	1
SRR15884326	1
SRR15884327	1
SRR15884328	3
SRR15884329	1
SRR15884330	3
SRR15884331	1
SRR15884332	3
SRR15884333	3
SRR15884334	1
SRR15884335	1
SRR15884336	3
SRR15884337	1
SRR15884338	1
SRR15884339	2
SRR15884340	1
SRR15884341	3
SRR15884342	2
SRR15884343	1
SRR15884344	2
SRR15884345	2
SRR15884346	1
SRR15884347	1
SRR15884349	1
SRR15884350	1
SRR15884351	3
SRR15884352	2
SRR15884353	2
SRR15884354	1
SRR15884355	1
SRR15884356	3
SRR15884357	1
SRR15884358	1
SRR15884359	3
SRR15884360	1
SRR15884361	1
SRR15884362	3
SRR15884363	3
SRR15884364	3
SRR15884365	1
SRR15884366	1
SRR15884367	1
SRR15884368	3
SRR15884369	1
SRR15884370	3
SRR15884371	1
SRR15884372	3
SRR15884373	3
SRR15884374	1
SRR15884375	1
SRR15884376	3
SRR15884377	1
SRR15884378	1
SRR15884379	1
SRR15884380	1
SRR15884381	1
SRR15884382	1
SRR15884383	3
SRR15884384	2
SRR15884385	3
SRR15884386	1
SRR15884387	2
SRR15884388	1
SRR15884389	3
SRR15884390	1
SRR15884391	1
SRR15884392	1
SRR15884393	1
SRR15884394	2
SRR15884395	1
SRR15884396	1
SRR15884397	1
SRR15884398	2
SRR15884399	1
SRR15884400	1
SRR15884401	1
SRR15884402	3
SRR15884403	1
SRR15884404	1
SRR15884405	1
SRR15884406	3
SRR15884407	1
SRR15884408	1
SRR15884409	2
SRR15884410	1
SRR15884411	3
SRR15884412	1
SRR15884413	3
SRR15884414	1
SRR15884415	1
SRR15884416	2
SRR15884417	3
SRR15884418	3
SRR15884419	3
SRR15884420	3
SRR15884421	1
SRR15884422	3
SRR15884423	2
SRR15884424	3
SRR15884425	1
SRR15884426	1
SRR15884427	1
SRR15884428	3
SRR15884429	3
SRR15884430	3
SRR15884431	3
SRR15884432	3
SRR15884433	3
SRR15884434	3
SRR15884435	3
SRR15884436	2
SRR15884437	3
SRR15884438	3
SRR15884439	3
SRR15884440	3
SRR15884441	1
SRR15884442	3
SRR15884443	2
SRR15884444	3
SRR15884445	3
SRR15884446	2
SRR15884447	2
SRR15884448	1
SRR15884449	1
SRR15884450	2
SRR15884451	1
SRR15884452	3
SRR15884453	1
SRR15884454	1
SRR15884455	1
SRR15884456	3
SRR15884457	3
SRR15884458	1
SRR15884459	1
SRR15884460	1
SRR15884461	1
SRR15884462	1
SRR15884463	1
SRR15884464	2
SRR15884465	3
SRR15884466	3
SRR15884467	3
SRR15884468	3
SRR15884469	3
SRR15884470	3
SRR15884471	3
SRR15884472	1
SRR15884473	1
SRR15884474	3
SRR15884475	2
SRR15884476	1
SRR15884477	2
SRR15884478	1
SRR15884479	1
SRR15884480	3
SRR15884481	3
SRR15884482	1
SRR15884483	1
SRR15884484	3
SRR15884485	3
SRR15884486	1
SRR15884487	2
SRR15884488	3
SRR15884489	1
SRR15884490	3
SRR15884491	1
SRR15884492	1
SRR15884493	1
SRR15884494	1
SRR15884495	1
SRR15884496	3
SRR15884497	1
SRR15884498	1
SRR15884499	2
SRR15884500	1
SRR15884501	1
SRR15884502	2
SRR15884503	1
SRR15884504	1
SRR15884505	2
SRR15884506	1
SRR15884507	2
SRR15884508	3
SRR15884509	2
SRR15884510	3
SRR15884511	1
SRR15884512	2
SRR15884513	3
SRR15884514	3
SRR15884515	3
SRR15884516	1
SRR15884517	3
SRR15884518	3
SRR15884519	2
SRR15884520	2
SRR15884521	1
SRR15884522	3
SRR15884523	3
SRR15884524	3
SRR15884525	1
SRR15884526	1
SRR15884527	3
SRR15884528	3
SRR15884529	3
SRR15884530	2
SRR15884531	3
SRR15884532	1
SRR15884533	1
SRR15884534	1
SRR15884535	3
SRR15884536	2
SRR15884537	3
SRR15884538	1
SRR15884539	3
SRR15884540	1
SRR15884541	3
SRR15884542	3
SRR15884543	1
SRR15884544	3
SRR15884545	2
SRR15884546	1
SRR15884547	3
SRR15884548	3
SRR15884549	2
SRR15884550	1
SRR15884551	3
SRR15884552	1
SRR15884553	1
SRR15884554	1
SRR15884555	1
SRR15884556	1
SRR15884557	1
SRR15884558	1
SRR15884559	1
SRR15884560	1
SRR15884561	1
SRR15884562	1
SRR15884563	3
SRR15884564	3
SRR15884565	1
SRR15884566	3
SRR15884567	3
SRR15884568	3
SRR15884569	3
SRR15884570	1
SRR15884571	3
SRR15884572	1
SRR15884573	2
SRR15884574	3
SRR15884575	1
SRR15884576	3
SRR15884577	1
SRR15884578	3
SRR15884579	3
SRR15884580	1
SRR15884581	3
SRR15884582	3
SRR15884583	3
SRR15884584	1
SRR15884585	3
SRR15884586	3
SRR15884587	3
SRR15884588	1
SRR15884589	1
SRR15884590	1
SRR15884591	1
SRR15884592	3
SRR15884593	3
SRR15884594	3
SRR15884595	3
SRR15884596	1
SRR15884597	3
SRR15884598	1
SRR15884599	3
SRR15884600	3
SRR15884601	3
SRR15884602	3
SRR15884603	1
SRR15884604	1
SRR15884605	3
SRR15884606	3
SRR15884607	3
SRR15884608	3
SRR15884609	1
SRR15884610	3
SRR15884611	3
SRR15884612	1
SRR15884613	1
SRR15884614	2
SRR15884615	3
SRR15884616	1
SRR15884617	3
SRR15884618	1
SRR15884619	3
SRR15884620	3
SRR15884621	3
SRR15884622	1
SRR15884623	1
SRR15884624	1
SRR15884625	3
SRR15884626	1
SRR15884627	1
SRR15884628	3
SRR15884629	1
SRR15884630	1
SRR15884631	1
SRR15884632	1
SRR15884633	3
SRR15884634	1
SRR15884635	3
SRR15884636	1
SRR15884637	1
SRR15884638	3
SRR15884639	3
SRR15884640	3
SRR15884641	3
SRR15884642	3
SRR15884643	1
SRR15884644	1
SRR15884645	3
SRR15884646	2
SRR15884647	1
SRR15884648	1
SRR15884649	3
SRR15884650	1
SRR15884651	3
SRR15884652	2
SRR15884653	1
SRR15884654	1
SRR15884655	3
SRR15884656	3
SRR15884657	3
SRR15884658	3
SRR15884659	3
SRR15884660	1
SRR15884661	1
