ID	observed_otus
SRR15884199	198
SRR15884200	121
SRR15884201	142
SRR15884202	310
SRR15884203	155
SRR15884204	140
SRR15884205	164
SRR15884206	114
SRR15884207	255
SRR15884208	204
SRR15884209	116
SRR15884210	129
SRR15884211	167
SRR15884212	212
SRR15884213	193
SRR15884214	151
SRR15884215	160
SRR15884216	121
SRR15884217	170
SRR15884218	137
SRR15884219	229
SRR15884220	100
SRR15884221	97
SRR15884222	214
SRR15884223	161
SRR15884224	213
SRR15884225	293
SRR15884226	53
SRR15884227	176
SRR15884228	51
SRR15884229	90
SRR15884230	93
SRR15884231	128
SRR15884232	156
SRR15884233	107
SRR15884234	95
SRR15884235	150
SRR15884236	210
SRR15884237	109
SRR15884238	73
SRR15884239	171
SRR15884240	68
SRR15884241	217
SRR15884242	155
SRR15884243	75
SRR15884244	163
SRR15884245	30
SRR15884246	114
SRR15884247	175
SRR15884248	127
SRR15884249	93
SRR15884250	62
SRR15884251	62
SRR15884252	144
SRR15884253	141
SRR15884254	110
SRR15884255	158
SRR15884256	55
SRR15884257	77
SRR15884258	115
SRR15884259	109
SRR15884260	156
SRR15884261	183
SRR15884262	46
SRR15884263	154
SRR15884264	101
SRR15884265	122
SRR15884266	145
SRR15884267	150
SRR15884268	84
SRR15884269	111
SRR15884270	200
SRR15884271	122
SRR15884272	129
SRR15884273	129
SRR15884274	109
SRR15884275	70
SRR15884276	43
SRR15884277	74
SRR15884278	100
SRR15884279	119
SRR15884280	120
SRR15884281	251
SRR15884282	95
SRR15884283	65
SRR15884284	91
SRR15884285	194
SRR15884286	136
SRR15884287	42
SRR15884288	141
SRR15884289	195
SRR15884290	83
SRR15884291	121
SRR15884292	168
SRR15884293	75
SRR15884294	84
SRR15884295	79
SRR15884296	50
SRR15884297	64
SRR15884298	113
SRR15884299	88
SRR15884300	228
SRR15884301	71
SRR15884302	72
SRR15884303	261
SRR15884304	198
SRR15884305	152
SRR15884306	66
SRR15884307	51
SRR15884308	75
SRR15884309	70
SRR15884310	105
SRR15884311	140
SRR15884312	62
SRR15884313	165
SRR15884314	135
SRR15884315	62
SRR15884316	142
SRR15884317	43
SRR15884318	63
SRR15884319	130
SRR15884320	133
SRR15884321	72
SRR15884322	177
SRR15884323	74
SRR15884324	110
SRR15884325	194
SRR15884326	192
SRR15884327	103
SRR15884328	85
SRR15884329	74
SRR15884330	182
SRR15884331	109
SRR15884332	153
SRR15884333	154
SRR15884334	128
SRR15884335	81
SRR15884336	145
SRR15884337	33
SRR15884338	192
SRR15884339	255
SRR15884340	173
SRR15884341	104
SRR15884342	135
SRR15884343	106
SRR15884344	142
SRR15884345	148
SRR15884346	86
SRR15884347	140
SRR15884349	84
SRR15884350	114
SRR15884351	93
SRR15884352	131
SRR15884353	200
SRR15884354	105
SRR15884355	105
SRR15884356	150
SRR15884357	209
SRR15884358	38
SRR15884359	118
SRR15884360	54
SRR15884361	93
SRR15884362	116
SRR15884363	171
SRR15884364	137
SRR15884365	108
SRR15884366	61
SRR15884367	52
SRR15884368	142
SRR15884369	146
SRR15884370	121
SRR15884371	61
SRR15884372	122
SRR15884373	147
SRR15884374	85
SRR15884375	97
SRR15884376	116
SRR15884377	148
SRR15884378	98
SRR15884379	141
SRR15884380	85
SRR15884381	140
SRR15884382	71
SRR15884383	107
SRR15884384	81
SRR15884385	156
SRR15884386	107
SRR15884387	71
SRR15884388	118
SRR15884389	158
SRR15884390	148
SRR15884391	196
SRR15884392	259
SRR15884393	203
SRR15884394	215
SRR15884395	215
SRR15884396	180
SRR15884397	140
SRR15884398	241
SRR15884399	199
SRR15884400	104
SRR15884401	201
SRR15884402	233
SRR15884403	208
SRR15884404	159
SRR15884405	108
SRR15884406	123
SRR15884407	108
SRR15884408	67
SRR15884409	160
SRR15884410	117
SRR15884411	59
SRR15884412	148
SRR15884413	64
SRR15884414	163
SRR15884415	130
SRR15884416	112
SRR15884417	114
SRR15884418	68
SRR15884419	88
SRR15884420	144
SRR15884421	103
SRR15884422	197
SRR15884423	144
SRR15884424	116
SRR15884425	214
SRR15884426	87
SRR15884427	95
SRR15884428	98
SRR15884429	106
SRR15884430	102
SRR15884431	144
SRR15884432	117
SRR15884433	124
SRR15884434	52
SRR15884435	112
SRR15884436	139
SRR15884437	119
SRR15884438	65
SRR15884439	84
SRR15884440	119
SRR15884441	59
SRR15884442	88
SRR15884443	110
SRR15884444	81
SRR15884445	77
SRR15884446	52
SRR15884447	367
SRR15884448	204
SRR15884449	86
SRR15884450	123
SRR15884451	94
SRR15884452	269
SRR15884453	108
SRR15884454	114
SRR15884455	102
SRR15884456	52
SRR15884457	68
SRR15884458	60
SRR15884459	42
SRR15884460	70
SRR15884461	117
SRR15884462	120
SRR15884463	122
SRR15884464	193
SRR15884465	96
SRR15884466	80
SRR15884467	77
SRR15884468	101
SRR15884469	85
SRR15884470	102
SRR15884471	115
SRR15884472	49
SRR15884473	64
SRR15884474	97
SRR15884475	126
SRR15884476	180
SRR15884477	137
SRR15884478	121
SRR15884479	113
SRR15884480	155
SRR15884481	73
SRR15884482	165
SRR15884483	113
SRR15884484	92
SRR15884485	179
SRR15884486	91
SRR15884487	143
SRR15884488	144
SRR15884489	117
SRR15884490	83
SRR15884491	130
SRR15884492	221
SRR15884493	97
SRR15884494	130
SRR15884495	251
SRR15884496	329
SRR15884497	173
SRR15884498	146
SRR15884499	157
SRR15884500	128
SRR15884501	61
SRR15884502	197
SRR15884503	237
SRR15884504	93
SRR15884505	216
SRR15884506	68
SRR15884507	171
SRR15884508	228
SRR15884509	169
SRR15884510	203
SRR15884511	212
SRR15884512	144
SRR15884513	160
SRR15884514	190
SRR15884515	106
SRR15884516	119
SRR15884517	92
SRR15884518	78
SRR15884519	180
SRR15884520	216
SRR15884521	132
SRR15884522	181
SRR15884523	81
SRR15884524	128
SRR15884525	251
SRR15884526	260
SRR15884527	112
SRR15884528	64
SRR15884529	244
SRR15884530	161
SRR15884531	151
SRR15884532	228
SRR15884533	203
SRR15884534	155
SRR15884535	229
SRR15884536	142
SRR15884537	98
SRR15884538	170
SRR15884539	184
SRR15884540	138
SRR15884541	99
SRR15884542	131
SRR15884543	135
SRR15884544	247
SRR15884545	215
SRR15884546	132
SRR15884547	135
SRR15884548	209
SRR15884549	211
SRR15884550	197
SRR15884551	172
SRR15884552	106
SRR15884553	125
SRR15884554	121
SRR15884555	97
SRR15884556	78
SRR15884557	75
SRR15884558	105
SRR15884559	88
SRR15884560	61
SRR15884561	50
SRR15884562	113
SRR15884563	80
SRR15884564	114
SRR15884565	70
SRR15884566	104
SRR15884567	82
SRR15884568	185
SRR15884569	204
SRR15884570	165
SRR15884571	187
SRR15884572	150
SRR15884573	53
SRR15884574	87
SRR15884575	131
SRR15884576	72
SRR15884577	128
SRR15884578	82
SRR15884579	41
SRR15884580	141
SRR15884581	119
SRR15884582	131
SRR15884583	118
SRR15884584	62
SRR15884585	142
SRR15884586	147
SRR15884587	201
SRR15884588	68
SRR15884589	87
SRR15884590	73
SRR15884591	103
SRR15884592	90
SRR15884593	90
SRR15884594	96
SRR15884595	45
SRR15884596	82
SRR15884597	45
SRR15884598	119
SRR15884599	106
SRR15884600	91
SRR15884601	108
SRR15884602	56
SRR15884603	93
SRR15884604	66
SRR15884605	57
SRR15884606	89
SRR15884607	44
SRR15884608	100
SRR15884609	117
SRR15884610	62
SRR15884611	62
SRR15884612	131
SRR15884613	124
SRR15884614	119
SRR15884615	75
SRR15884616	75
SRR15884617	72
SRR15884618	118
SRR15884619	76
SRR15884620	149
SRR15884621	178
SRR15884622	99
SRR15884623	97
SRR15884624	44
SRR15884625	102
SRR15884626	115
SRR15884627	95
SRR15884628	76
SRR15884629	44
SRR15884630	106
SRR15884631	77
SRR15884632	129
