ID	simpson
SRR15884199	0.9503068
SRR15884200	0.92026248
SRR15884201	0.8936472
SRR15884202	0.97166344
SRR15884203	0.9388101600000001
SRR15884204	0.91628552
SRR15884205	0.94168576
SRR15884206	0.8976860799999999
SRR15884207	0.8960796
SRR15884208	0.94294816
SRR15884209	0.87967584
SRR15884210	0.4267100800000002
SRR15884211	0.91009352
SRR15884212	0.98166408
SRR15884213	0.93162408
SRR15884214	0.82497608
SRR15884215	0.84390168
SRR15884216	0.89088696
SRR15884217	0.9075933599999999
SRR15884218	0.82493904
SRR15884219	0.96040952
SRR15884220	0.83720224
SRR15884221	0.85529488
SRR15884222	0.94233704
SRR15884223	0.9371536
SRR15884224	0.96334888
SRR15884225	0.94465008
SRR15884226	0.8044804
SRR15884227	0.83687752
SRR15884228	0.8269264
SRR15884229	0.95472392
SRR15884230	0.92631408
SRR15884231	0.96390848
SRR15884232	0.97040768
SRR15884233	0.96224784
SRR15884234	0.95182608
SRR15884235	0.9539496
SRR15884236	0.95153856
SRR15884237	0.95410432
SRR15884238	0.88554648
SRR15884239	0.92813704
SRR15884240	0.88513128
SRR15884241	0.98669128
SRR15884242	0.96376896
SRR15884243	0.94279368
SRR15884244	0.97033288
SRR15884245	0.89414624
SRR15884246	0.9412656
SRR15884247	0.91726344
SRR15884248	0.93731184
SRR15884249	0.95120104
SRR15884250	0.9074907999999999
SRR15884251	0.85460368
SRR15884252	0.92448936
SRR15884253	0.92729392
SRR15884254	0.8387395200000001
SRR15884255	0.95752184
SRR15884256	0.88853344
SRR15884257	0.8987238399999999
SRR15884258	0.84859208
SRR15884259	0.95352152
SRR15884260	0.96924088
SRR15884261	0.97002096
SRR15884262	0.78240952
SRR15884263	0.96698352
SRR15884264	0.88508904
SRR15884265	0.73934088
SRR15884266	0.95880208
SRR15884267	0.9457852
SRR15884268	0.95160888
SRR15884269	0.9728308
SRR15884270	0.95556024
SRR15884271	0.9602470399999999
SRR15884272	0.9247708
SRR15884273	0.93248792
SRR15884274	0.8875544799999999
SRR15884275	0.91800992
SRR15884276	0.78391096
SRR15884277	0.8907516
SRR15884278	0.94664928
SRR15884279	0.96891528
SRR15884280	0.95273488
SRR15884281	0.955408
SRR15884282	0.95615632
SRR15884283	0.94378704
SRR15884284	0.9001207999999999
SRR15884285	0.95939608
SRR15884286	0.94425432
SRR15884287	0.3136902399999998
SRR15884288	0.96684
SRR15884289	0.93876872
SRR15884290	0.93984808
SRR15884291	0.9373644799999999
SRR15884292	0.92006344
SRR15884293	0.91229584
SRR15884294	0.68981512
SRR15884295	0.76422768
SRR15884296	0.7752720799999999
SRR15884297	0.69957056
SRR15884298	0.95044408
SRR15884299	0.92476112
SRR15884300	0.9759636
SRR15884301	0.77571648
SRR15884302	0.87629528
SRR15884303	0.9496916
SRR15884304	0.97648208
SRR15884305	0.88046376
SRR15884306	0.86347456
SRR15884307	0.77843
SRR15884308	0.71877912
SRR15884309	0.69062856
SRR15884310	0.883812
SRR15884311	0.9335052
SRR15884312	0.88624616
SRR15884313	0.9513384
SRR15884314	0.96345968
SRR15884315	0.4153640799999998
SRR15884316	0.93689192
SRR15884317	0.78216336
SRR15884318	0.34241352
SRR15884319	0.78933208
SRR15884320	0.9453988799999999
SRR15884321	0.69683968
SRR15884322	0.9280172799999999
SRR15884323	0.8324402399999999
SRR15884324	0.87899368
SRR15884325	0.9649176
SRR15884326	0.97243392
SRR15884327	0.89511616
SRR15884328	0.8993576
SRR15884329	0.81091408
SRR15884330	0.95215456
SRR15884331	0.84016704
SRR15884332	0.92731144
SRR15884333	0.97575048
SRR15884334	0.95848704
SRR15884335	0.9153196
SRR15884336	0.89152904
SRR15884337	0.90319568
SRR15884338	0.96008792
SRR15884339	0.97552192
SRR15884340	0.9612144
SRR15884341	0.94302768
SRR15884342	0.96866648
SRR15884343	0.82699408
SRR15884344	0.9667604
SRR15884345	0.96888776
SRR15884346	0.9366436
SRR15884347	0.9292436000000001
SRR15884349	0.89804456
SRR15884350	0.9362456
SRR15884351	0.90763472
SRR15884352	0.88857632
SRR15884353	0.87923128
SRR15884354	0.92886936
SRR15884355	0.92905768
SRR15884356	0.9519028
SRR15884357	0.96954872
SRR15884358	0.78885152
SRR15884359	0.95402032
SRR15884360	0.88809768
SRR15884361	0.92802048
SRR15884362	0.9490232000000001
SRR15884363	0.9289144
SRR15884364	0.94701728
SRR15884365	0.94450624
SRR15884366	0.90622984
SRR15884367	0.86582624
SRR15884368	0.97555856
SRR15884369	0.9148596
SRR15884370	0.9260816
SRR15884371	0.93382128
SRR15884372	0.94404
SRR15884373	0.9734488
SRR15884374	0.88761176
SRR15884375	0.90008656
SRR15884376	0.9217924000000001
SRR15884377	0.96101528
SRR15884378	0.95983592
SRR15884379	0.91677792
SRR15884380	0.94783144
SRR15884381	0.8148516
SRR15884382	0.9087356799999999
SRR15884383	0.96153056
SRR15884384	0.9114492
SRR15884385	0.95632896
SRR15884386	0.9709972
SRR15884387	0.93496
SRR15884388	0.95602712
SRR15884389	0.94673904
SRR15884390	0.88242696
SRR15884391	0.68959088
SRR15884392	0.8892070400000001
SRR15884393	0.95818864
SRR15884394	0.9744252
SRR15884395	0.94687328
SRR15884396	0.96857552
SRR15884397	0.83212128
SRR15884398	0.93843488
SRR15884399	0.87366336
SRR15884400	0.93783944
SRR15884401	0.95137704
SRR15884402	0.9695172
SRR15884403	0.9557548
SRR15884404	0.8996890399999999
SRR15884405	0.83026544
SRR15884406	0.9307236
SRR15884407	0.7259363999999999
SRR15884408	0.834586
SRR15884409	0.96095472
SRR15884410	0.91427568
SRR15884411	0.72765408
SRR15884412	0.96428232
SRR15884413	0.84030184
SRR15884414	0.93511384
SRR15884415	0.88807568
SRR15884416	0.7281312
SRR15884417	0.92244744
SRR15884418	0.7368813599999999
SRR15884419	0.7621090399999999
SRR15884420	0.92260568
SRR15884421	0.90885024
SRR15884422	0.97415464
SRR15884423	0.891586
SRR15884424	0.92417592
SRR15884425	0.9585016
SRR15884426	0.897624
SRR15884427	0.74801032
SRR15884428	0.87817904
SRR15884429	0.91425016
SRR15884430	0.94661984
SRR15884431	0.96061576
SRR15884432	0.80455952
SRR15884433	0.8986056
SRR15884434	0.8289988
SRR15884435	0.877482
SRR15884436	0.9365596
SRR15884437	0.93958528
SRR15884438	0.7098408
SRR15884439	0.92317848
SRR15884440	0.92672688
SRR15884441	0.82723888
SRR15884442	0.89071336
SRR15884443	0.94629704
SRR15884444	0.7058682399999999
SRR15884445	0.75719072
SRR15884446	0.90234792
SRR15884447	0.96008872
SRR15884448	0.9674828
SRR15884449	0.764322
SRR15884450	0.93375064
SRR15884451	0.9407528000000001
SRR15884452	0.9724148
SRR15884453	0.9379772
SRR15884454	0.96178504
SRR15884455	0.94488472
SRR15884456	0.9085332
SRR15884457	0.9407
SRR15884458	0.7880746399999999
SRR15884459	0.87641144
SRR15884460	0.943038
SRR15884461	0.8997708
SRR15884462	0.9507704
SRR15884463	0.94749736
SRR15884464	0.97600392
SRR15884465	0.92408352
SRR15884466	0.93963776
SRR15884467	0.92427304
SRR15884468	0.94197544
SRR15884469	0.7395471199999999
SRR15884470	0.94759376
SRR15884471	0.93554288
SRR15884472	0.91154344
SRR15884473	0.83960168
SRR15884474	0.94612952
SRR15884475	0.9409856
SRR15884476	0.96233088
SRR15884477	0.97279024
SRR15884478	0.94072448
SRR15884479	0.95171016
SRR15884480	0.63212336
SRR15884481	0.7972687999999999
SRR15884482	0.96191056
SRR15884483	0.95969376
SRR15884484	0.87403456
SRR15884485	0.96944528
SRR15884486	0.9223152800000001
SRR15884487	0.960796
SRR15884488	0.7120324
SRR15884489	0.70664104
SRR15884490	0.93548792
SRR15884491	0.97720064
SRR15884492	0.96354176
SRR15884493	0.95737472
SRR15884494	0.90466656
SRR15884495	0.93441984
SRR15884496	0.97698096
SRR15884497	0.97404072
SRR15884498	0.93312472
SRR15884499	0.96833696
SRR15884500	0.93011296
SRR15884501	0.7740967999999999
SRR15884502	0.93908976
SRR15884503	0.94151984
SRR15884504	0.79075672
SRR15884505	0.96091544
SRR15884506	0.85742232
SRR15884507	0.95807984
SRR15884508	0.94221896
SRR15884509	0.9649734400000001
SRR15884510	0.8997936
SRR15884511	0.94751272
