,classifier,samples,features,Feature Abundance Limits,CI lower,CI upper,FN,FP,TN,TP,accuracy,f1,f2,precision,recall,roc_auc
0,RF,old,selected,no transformation,0.7577623510360365,0.8665707654246011,49.0,2.0,96.0,51.0,0.7424242424242424,0.7901234567901234,0.7079646017699114,0.9795918367346939,0.6620689655172414,0.8121665582303188
0,RF,old,selected,low,0.740693472342369,0.8528003467858027,48.0,4.0,97.0,49.0,0.7373737373737373,0.7886178861788617,0.7121879588839941,0.9603960396039604,0.6689655172413793,0.7967469095640859
0,RF,old,selected,medium,0.7265313763856558,0.8411979664900762,49.0,5.0,96.0,48.0,0.7272727272727273,0.7804878048780488,0.7048458149779736,0.9504950495049505,0.6620689655172414,0.783864671437866
0,RF,old,selected,high,0.7559554978244759,0.8651245282002474,44.0,4.0,101.0,49.0,0.7575757575757576,0.8079999999999999,0.7372262773722628,0.9619047619047619,0.696551724137931,0.8105400130123617
0,RF,old,all,no transformation,0.4303544326571672,0.5696455673428328,0.0,53.0,145.0,0.0,0.7323232323232324,0.8454810495626823,0.9318766066838046,0.7323232323232324,1.0,0.5
0,RF,old,all,low,0.4448925436278812,0.5841250230604726,4.0,50.0,141.0,3.0,0.7272727272727273,0.8392857142857142,0.9143968871595329,0.7382198952879581,0.9724137931034482,0.5145087833441769
0,RF,old,all,medium,0.4303544326571672,0.5696455673428328,0.0,53.0,145.0,0.0,0.7323232323232324,0.8454810495626823,0.9318766066838046,0.7323232323232324,1.0,0.5
0,RF,old,all,high,0.4328927400222738,0.5721820810577523,2.0,52.0,143.0,1.0,0.7272727272727273,0.8411764705882352,0.9225806451612902,0.7333333333333333,0.9862068965517241,0.502537410540013
0,RF,young,selected,no transformation,0.48622386043456056,0.6732784020088785,15.0,31.0,24.0,37.0,0.5700934579439252,0.5106382978723405,0.5687203791469194,0.43636363636363634,0.6153846153846154,0.5797511312217195
0,RF,young,selected,low,0.46917861240434233,0.6571411462683575,14.0,35.0,25.0,33.0,0.5420560747663551,0.5050505050505051,0.5787037037037037,0.4166666666666667,0.6410256410256411,0.5631598793363499
0,RF,young,selected,medium,0.4578104884703291,0.6462619097197162,12.0,40.0,27.0,28.0,0.514018691588785,0.5094339622641508,0.6053811659192825,0.40298507462686567,0.6923076923076923,0.5520361990950227
0,RF,young,selected,high,0.437315131861779,0.6264103583342994,13.0,41.0,26.0,27.0,0.4953271028037383,0.490566037735849,0.5829596412556054,0.3880597014925373,0.6666666666666666,0.5318627450980392
0,RF,young,all,no transformation,0.3905949281710966,0.579993307123021,39.0,2.0,0.0,66.0,0.616822429906542,0.0,0.0,0.0,0.0,0.4852941176470588
0,RF,young,all,low,0.3734033926582023,0.5624940432392336,22.0,34.0,17.0,34.0,0.4766355140186916,0.37777777777777777,0.4106280193236715,0.3333333333333333,0.4358974358974359,0.46794871794871795
0,RF,young,all,medium,0.28775567114490647,0.4716711765172353,22.0,46.0,17.0,22.0,0.3644859813084112,0.3333333333333333,0.3881278538812785,0.2698412698412698,0.4358974358974359,0.3797134238310709
0,RF,young,all,high,0.30960392923883107,0.49544886110807684,38.0,15.0,1.0,53.0,0.5046728971962616,0.03636363636363637,0.02906976744186046,0.0625,0.02564102564102564,0.40252639517345395
0,RF,all,selected,no transformation,0.6463421764502104,0.7494088116920821,61.0,33.0,123.0,88.0,0.6918032786885245,0.7235294117647058,0.6894618834080717,0.7884615384615384,0.6684782608695652,0.6978754940711462
0,RF,all,selected,low,0.6579908943799249,0.7599483797846456,63.0,29.0,121.0,92.0,0.6983606557377049,0.724550898203593,0.6828442437923251,0.8066666666666666,0.657608695652174,0.7089696370822852
0,RF,all,selected,medium,0.677693769959892,0.7776152490843049,47.0,35.0,137.0,86.0,0.7311475409836066,0.7696629213483146,0.7544052863436124,0.7965116279069767,0.7445652173913043,0.7276545095220984
0,RF,all,selected,high,0.6541904610816248,0.7565174081242682,40.0,45.0,144.0,76.0,0.7213114754098361,0.772117962466488,0.7783783783783784,0.7619047619047619,0.782608695652174,0.7053539346029465
0,RF,all,all,no transformation,0.44801951102752063,0.5602449517823966,0.0,120.0,184.0,1.0,0.6065573770491803,0.7540983606557378,0.8846153846153846,0.6052631578947368,1.0,0.5041322314049587
0,RF,all,all,low,0.4318418606503053,0.544038484301186,9.0,118.0,175.0,3.0,0.5836065573770491,0.7337526205450735,0.8503401360544217,0.5972696245733788,0.9510869565217391,0.4879401724757456
0,RF,all,all,medium,0.45226999062136886,0.5644835127922138,3.0,117.0,181.0,4.0,0.6065573770491803,0.7510373443983402,0.8752417794970986,0.6073825503355704,0.9836956521739131,0.5083767517067913
0,RF,all,all,high,0.4494358881440779,0.5616582548670609,1.0,119.0,183.0,2.0,0.6065573770491803,0.7530864197530864,0.8815028901734104,0.6059602649006622,0.9945652173913043,0.5055470715055694
0,SVM,old,selected,no transformation,0.5856343070147692,0.7183344633170461,38.0,23.0,107.0,30.0,0.6919191919191919,0.7781818181818182,0.7535211267605634,0.823076923076923,0.7379310344827587,0.6519843851659076
0,SVM,old,selected,low,0.4303544326571672,0.5696455673428328,0.0,53.0,145.0,0.0,0.7323232323232324,0.8454810495626823,0.9318766066838046,0.7323232323232324,1.0,0.5
0,SVM,old,selected,medium,0.4303544326571672,0.5696455673428328,0.0,53.0,145.0,0.0,0.7323232323232324,0.8454810495626823,0.9318766066838046,0.7323232323232324,1.0,0.5
0,SVM,old,selected,high,0.4303544326571672,0.5696455673428328,0.0,53.0,145.0,0.0,0.7323232323232324,0.8454810495626823,0.9318766066838046,0.7323232323232324,1.0,0.5
