,classifier,samples,features,Feature Abundance Limits,roc_auc,CI lower,CI upper,FN,FP,TN,TP,accuracy,f1,f2,precision,recall
0,RF,old,selected,no transformation,81.07,75.62,86.53,33,8,112,45,79.29,84.53,80.0,93.33,77.24
1,RF,old,selected,low,75.76,69.79,81.73,32,14,113,39,76.77,83.09,79.92,88.98,77.93
2,RF,old,selected,medium,81.85,76.49,87.22,28,9,117,44,81.31,86.35,82.86,92.86,80.69
3,RF,old,selected,high,79.97,74.39,85.54,28,11,117,42,80.3,85.71,82.63,91.41,80.69
4,RF,old,all,no transformation,78.77,73.07,84.47,26,13,119,40,80.3,85.92,83.57,90.15,82.07
5,RF,old,all,low,77.23,71.39,83.07,25,15,120,38,79.8,85.71,83.92,88.89,82.76
6,RF,old,all,medium,80.4,74.87,85.93,24,12,121,41,81.82,87.05,84.85,90.98,83.45
7,RF,old,all,high,77.57,71.76,83.38,24,15,121,38,80.3,86.12,84.5,88.97,83.45
8,RF,young,selected,no transformation,69.38,60.65,78.11,17,12,22,56,72.9,60.27,57.89,64.71,56.41
9,RF,young,selected,low,68.46,59.65,77.26,16,15,23,53,71.03,59.74,59.28,60.53,58.97
10,RF,young,selected,medium,68.46,59.65,77.26,16,15,23,53,71.03,59.74,59.28,60.53,58.97
11,RF,young,selected,high,62.03,52.83,71.22,17,22,22,46,63.55,53.01,55.0,50.0,56.41
12,RF,young,all,no transformation,64.95,55.91,73.99,13,25,26,43,64.49,57.78,62.8,50.98,66.67
13,RF,young,all,low,61.65,52.44,70.86,15,26,24,42,61.68,53.93,58.25,48.0,61.54
14,RF,young,all,medium,60.92,51.67,70.16,15,27,24,41,60.75,53.33,57.97,47.06,61.54
15,RF,young,all,high,65.52,56.51,74.52,16,19,23,49,67.29,56.79,58.08,54.76,58.97
16,RF,all,selected,no transformation,77.85,73.19,82.51,45,24,139,97,77.38,80.12,77.31,85.28,75.54
17,RF,all,selected,low,78.95,74.38,83.53,44,22,140,99,78.36,80.92,77.95,86.42,76.09
18,RF,all,selected,medium,78.0,73.35,82.65,46,23,138,98,77.38,80.0,76.92,85.71,75.0
19,RF,all,selected,high,77.3,72.6,82.0,44,26,140,95,77.05,80.0,77.61,84.34,76.09
20,RF,all,all,no transformation,76.89,72.16,81.62,44,27,140,94,76.72,79.77,77.52,83.83,76.09
21,RF,all,all,low,76.07,71.28,80.86,47,27,137,94,75.74,78.74,76.11,83.54,74.46
22,RF,all,all,medium,78.4,73.78,83.02,43,24,141,97,78.03,80.8,78.25,85.45,76.63
23,RF,all,all,high,75.93,71.13,80.73,46,28,138,93,75.74,78.86,76.5,83.13,75.0
0,SVM,old,selected,no transformation,63.51,56.8,70.21,73,12,72,41,57.07,62.88,54.22,85.71,49.66
1,SVM,old,selected,low,60.82,54.02,67.62,89,9,56,44,50.51,53.33,43.41,86.15,38.62
2,SVM,old,selected,medium,48.48,41.52,55.45,81,25,64,28,46.46,54.7,47.83,71.91,44.14
3,SVM,old,selected,high,58.83,51.97,65.68,51,25,94,28,61.62,71.21,67.24,78.99,64.83
4,SVM,old,all,no transformation,61.65,54.88,68.43,103,3,42,50,46.46,44.21,33.6,93.33,28.97
5,SVM,old,all,low,66.96,60.4,73.51,63,12,82,41,62.12,68.62,60.83,87.23,56.55
6,SVM,old,all,medium,65.32,58.69,71.95,65,13,80,40,60.61,67.23,59.44,86.02,55.17
7,SVM,old,all,high,62.06,55.3,68.82,69,15,76,38,57.58,64.41,56.63,83.52,52.41
8,SVM,young,selected,no transformation,50.08,40.6,59.55,16,40,23,28,47.66,45.1,52.51,36.51,58.97
9,SVM,young,selected,low,53.71,44.27,63.16,8,49,31,19,46.73,52.1,65.68,38.75,79.49
10,SVM,young,selected,medium,50.98,41.51,60.45,13,44,26,24,46.73,47.71,57.52,37.14,66.67
11,SVM,young,selected,high,48.21,38.74,57.68,10,53,29,15,41.12,47.93,60.92,35.37,74.36
12,SVM,young,all,no transformation,54.86,45.44,64.29,18,30,21,38,55.14,46.67,50.72,41.18,53.85
13,SVM,young,all,low,54.49,45.05,63.92,16,34,23,34,53.27,47.92,53.99,40.35,58.97
14,SVM,young,all,medium,55.22,45.8,64.64,16,33,23,35,54.21,48.42,54.25,41.07,58.97
15,SVM,young,all,high,53.21,43.75,62.66,17,34,22,34,52.34,46.32,51.89,39.29,56.41
