,classifier,samples,features,Feature Abundance Limits,CI lower,CI upper,FN,FP,TN,TP,accuracy,f1,f2,precision,recall,roc_auc
0,RF,old,selected,no transformation,0.7561722390768669,0.8652981578001663,33.0,8.0,112.0,45.0,0.7929292929292929,0.8452830188679245,0.8000000000000002,0.9333333333333333,0.7724137931034483,0.8107351984385166
0,RF,old,selected,low,0.697886875749291,0.8172725256820689,32.0,14.0,113.0,39.0,0.7676767676767676,0.8308823529411764,0.7991513437057991,0.889763779527559,0.7793103448275862,0.7575797007156799
0,RF,old,selected,medium,0.7648602744128686,0.8722249565565524,28.0,9.0,117.0,44.0,0.8131313131313131,0.8634686346863469,0.8286118980169972,0.9285714285714286,0.8068965517241379,0.8185426154847105
0,RF,old,selected,high,0.7439242813555192,0.855425100557298,28.0,11.0,117.0,42.0,0.803030303030303,0.8571428571428571,0.826271186440678,0.9140625,0.8068965517241379,0.7996746909564086
0,RF,old,all,no transformation,0.7307424740049718,0.8446641622995176,26.0,13.0,119.0,40.0,0.803030303030303,0.8592057761732852,0.8356741573033709,0.9015151515151515,0.8206896551724138,0.7877033181522447
0,RF,old,all,low,0.7138707395766822,0.8306965993953411,25.0,15.0,120.0,38.0,0.797979797979798,0.8571428571428572,0.8391608391608392,0.8888888888888888,0.8275862068965517,0.7722836694860117
0,RF,old,all,medium,0.7487432467675438,0.8593244175135234,24.0,12.0,121.0,41.0,0.8181818181818182,0.8705035971223022,0.8485273492286115,0.9097744360902256,0.8344827586206897,0.8040338321405336
0,RF,old,all,high,0.7176336991776939,0.8338301915184676,24.0,15.0,121.0,38.0,0.803030303030303,0.8612099644128113,0.8449720670391062,0.8897058823529411,0.8344827586206897,0.7757319453480808
0,RF,young,selected,no transformation,0.6064831468115703,0.7811488290556996,17.0,12.0,22.0,56.0,0.7289719626168224,0.6027397260273972,0.5789473684210525,0.6470588235294118,0.5641025641025641,0.693815987933635
0,RF,young,selected,low,0.5965292177000486,0.7726261367494235,16.0,15.0,23.0,53.0,0.7102803738317757,0.5974025974025974,0.5927835051546392,0.6052631578947368,0.5897435897435898,0.6845776772247361
0,RF,young,selected,medium,0.5965292177000486,0.7726261367494235,16.0,15.0,23.0,53.0,0.7102803738317757,0.5974025974025974,0.5927835051546392,0.6052631578947368,0.5897435897435898,0.6845776772247361
0,RF,young,selected,high,0.5283288234827648,0.7122443288550935,17.0,22.0,22.0,46.0,0.6355140186915887,0.5301204819277109,0.55,0.5,0.5641025641025641,0.6202865761689291
0,RF,young,all,no transformation,0.5591042783858862,0.7399153294572509,13.0,25.0,26.0,43.0,0.6448598130841121,0.5777777777777778,0.6280193236714976,0.5098039215686274,0.6666666666666666,0.6495098039215685
0,RF,young,all,low,0.5243839391828488,0.7086477350252961,15.0,26.0,24.0,42.0,0.616822429906542,0.5393258426966293,0.5825242718446603,0.48,0.6153846153846154,0.6165158371040724
0,RF,young,all,medium,0.51670823777017,0.7016175540850337,15.0,27.0,24.0,41.0,0.6074766355140186,0.5333333333333333,0.5797101449275363,0.47058823529411764,0.6153846153846154,0.6091628959276019
0,RF,young,all,high,0.5651032204546894,0.7452286045830182,16.0,19.0,23.0,49.0,0.6728971962616822,0.5679012345679013,0.5808080808080808,0.5476190476190477,0.5897435897435898,0.6551659125188538
0,RF,all,selected,no transformation,0.7319432307288506,0.8251444444418287,45.0,24.0,139.0,97.0,0.7737704918032787,0.8011527377521613,0.7730812013348165,0.852760736196319,0.7554347826086957,0.7785438375853396
0,RF,all,selected,low,0.7437759306013741,0.8352754527978353,44.0,22.0,140.0,99.0,0.7836065573770492,0.8092485549132948,0.779510022271715,0.8641975308641975,0.7608695652173914,0.7895256916996047
0,RF,all,selected,medium,0.7334649816574452,0.8264523737144553,46.0,23.0,138.0,98.0,0.7737704918032787,0.7999999999999999,0.7692307692307692,0.8571428571428571,0.75,0.7799586776859503
0,RF,all,selected,high,0.7259845187479821,0.8200090134115581,44.0,26.0,140.0,95.0,0.7704918032786885,0.8,0.7760532150776053,0.8433734939759037,0.7608695652173914,0.7729967660797701
0,RF,all,all,no transformation,0.721553291459842,0.8161757778897806,44.0,27.0,140.0,94.0,0.7672131147540984,0.7977207977207976,0.7751937984496124,0.8383233532934131,0.7608695652173914,0.7688645346748113
0,RF,all,all,low,0.7128298934582652,0.8085948280652703,47.0,27.0,137.0,94.0,0.7573770491803279,0.7873563218390804,0.7611111111111111,0.8353658536585366,0.7445652173913043,0.7607123607617677
0,RF,all,all,medium,0.7377930160215771,0.8301642243664935,43.0,24.0,141.0,97.0,0.780327868852459,0.8080229226361031,0.7824639289678135,0.8545454545454545,0.7663043478260869,0.7839786201940353
0,RF,all,all,high,0.711318384503437,0.8072766568188772,46.0,28.0,138.0,93.0,0.7573770491803279,0.7885714285714285,0.7649667405764966,0.8313253012048193,0.75,0.7592975206611571
