,classifier,samples,features,Feature Abundance Limits,roc_auc,CI lower,CI upper,accuracy,precision,recall,f1,f2,TP,TN,FP,FN
0,SVM,old,selected,no transformation,0.6350683148991543,0.5680120305473427,0.7021245992509658,0.5707070707070707,0.8571428571428571,0.496551724137931,0.6288209606986899,0.5421686746987953,41,72,12,73
0,SVM,old,selected,low,0.6081977878985037,0.5402024187095412,0.6761931570874661,0.5050505050505051,0.8615384615384616,0.38620689655172413,0.5333333333333334,0.434108527131783,44,56,9,89
0,SVM,old,selected,medium,0.48484059856864015,0.4152270487260737,0.5544541484112067,0.46464646464646464,0.7191011235955056,0.4413793103448276,0.547008547008547,0.47832585949177875,28,64,25,81
0,SVM,old,selected,high,0.5882888744307092,0.5197376691063298,0.6568400797550886,0.6161616161616161,0.7899159663865546,0.6482758620689655,0.7121212121212122,0.6723891273247496,28,94,25,51
0,SVM,old,all,no transformation,0.6165256994144438,0.5487978632581494,0.6842535355707382,0.46464646464646464,0.9333333333333333,0.2896551724137931,0.44210526315789483,0.336,50,42,3,103
0,SVM,old,all,low,0.6695510735198439,0.6040320367145193,0.7350701103251684,0.6212121212121212,0.8723404255319149,0.5655172413793104,0.6861924686192469,0.6083086053412463,41,82,12,63
0,SVM,old,all,medium,0.653220559531555,0.586925667195822,0.719515451867288,0.6060606060606061,0.8602150537634409,0.5517241379310345,0.6722689075630253,0.5943536404160475,40,80,13,65
0,SVM,old,all,high,0.6205595315549773,0.5529688189156687,0.6881502441942859,0.5757575757575758,0.8351648351648352,0.5241379310344828,0.6440677966101696,0.5663189269746648,38,76,15,69
0,SVM,young,selected,no transformation,0.5007541478129713,0.406014079651409,0.5954942159745337,0.4766355140186916,0.36507936507936506,0.5897435897435898,0.45098039215686275,0.5251141552511417,28,23,40,16
0,SVM,young,selected,low,0.5371417797888386,0.44266335583416977,0.6316202037435075,0.4672897196261682,0.3875,0.7948717948717948,0.5210084033613446,0.6567796610169491,19,31,49,8
0,SVM,young,selected,medium,0.5098039215686274,0.4150819596528804,0.6045258834843744,0.4672897196261682,0.37142857142857144,0.6666666666666666,0.4770642201834863,0.5752212389380531,24,26,44,13
0,SVM,young,selected,high,0.4820889894419307,0.38740961913991373,0.5767683597439476,0.411214953271028,0.35365853658536583,0.7435897435897436,0.4793388429752066,0.6092436974789915,15,29,53,10
0,SVM,young,all,no transformation,0.5486425339366515,0.4543517525717913,0.6429333153015118,0.5514018691588785,0.4117647058823529,0.5384615384615384,0.4666666666666667,0.5072463768115941,38,21,30,18
0,SVM,young,all,low,0.5448717948717949,0.45051390474059816,0.6392296850029917,0.5327102803738317,0.40350877192982454,0.5897435897435898,0.47916666666666663,0.539906103286385,34,23,34,16
0,SVM,young,all,medium,0.5522247360482655,0.4580027704568322,0.6464467016396989,0.5420560747663551,0.4107142857142857,0.5897435897435898,0.4842105263157895,0.5424528301886792,35,23,33,16
0,SVM,young,all,high,0.532051282051282,0.4375059567607664,0.6265966073417977,0.5233644859813084,0.39285714285714285,0.5641025641025641,0.4631578947368421,0.5188679245283018,34,22,34,17
0,SVM,all,selected,no transformation,0.6358246496586418,0.5818201302813824,0.6898291690359013,0.6032786885245902,0.7787610619469026,0.4782608695652174,0.5925925925925926,0.5182567726737338,96,88,25,96
0,SVM,all,selected,low,0.7788807042759613,0.7323054810178912,0.8254559275340315,0.7639344262295082,0.8783783783783784,0.7065217391304348,0.7831325301204821,0.7352941176470588,103,130,18,54
0,SVM,all,selected,medium,0.7791052820697089,0.7325470059542833,0.8256635581851344,0.7573770491803279,0.8985507246376812,0.6739130434782609,0.7701863354037267,0.7093821510297484,107,124,14,60
0,SVM,all,selected,high,0.7707285303629177,0.723551361286316,0.8179056994395193,0.7540983606557377,0.8758620689655172,0.6902173913043478,0.7720364741641336,0.7207718501702611,103,127,18,57
0,SVM,all,all,no transformation,0.5987468559108875,0.5437374444081471,0.6537562674136279,0.5704918032786885,0.7264957264957265,0.46195652173913043,0.5647840531561461,0.4982415005861665,89,85,32,99
0,SVM,all,all,low,0.552798239310097,0.4969973359709029,0.608599142649291,0.5901639344262295,0.6398104265402843,0.7336956521739131,0.6835443037974683,0.7127771911298838,45,135,76,49
0,SVM,all,all,medium,0.6449425080848006,0.5912373507485711,0.6986476654210301,0.6262295081967213,0.7611940298507462,0.5543478260869565,0.6415094339622641,0.5862068965517242,89,102,32,82
0,SVM,all,all,high,0.5831836148041682,0.5278509992217366,0.6385162303865999,0.5704918032786885,0.6906474820143885,0.5217391304347826,0.5944272445820433,0.5485714285714286,78,96,43,88
