,classifier,samples,features,Feature Abundance Limits,roc_auc,CI lower,CI upper,accuracy,precision,recall,f1,f2,TP,TN,FP,FN
0,XGB,old,selected,no transformation,0.78295380611581,0.7255332184029556,0.8403743938286644,0.7171717171717171,0.9587628865979382,0.6413793103448275,0.768595041322314,0.6868537666174298,49,93,4,52
0,XGB,old,selected,low,0.784775536759922,0.7275299486763752,0.8420211248434687,0.7373737373737373,0.9428571428571428,0.6827586206896552,0.792,0.7226277372262775,47,99,6,46
0,XGB,old,selected,medium,0.784775536759922,0.7275299486763752,0.8420211248434687,0.7373737373737373,0.9428571428571428,0.6827586206896552,0.792,0.7226277372262775,47,99,6,46
0,XGB,old,selected,high,0.7615484710474951,0.7021914212487848,0.8209055208462055,0.7121212121212122,0.9313725490196079,0.6551724137931034,0.7692307692307692,0.6964809384164223,46,95,7,50
0,XGB,old,all,no transformation,0.5,0.4303544326571672,0.5696455673428328,0.7323232323232324,0.7323232323232324,1.0,0.8454810495626823,0.9318766066838046,0,145,53,0
0,XGB,old,all,low,0.5,0.4303544326571672,0.5696455673428328,0.7323232323232324,0.7323232323232324,1.0,0.8454810495626823,0.9318766066838046,0,145,53,0
0,XGB,old,all,medium,0.5,0.4303544326571672,0.5696455673428328,0.7323232323232324,0.7323232323232324,1.0,0.8454810495626823,0.9318766066838046,0,145,53,0
0,XGB,old,all,high,0.5,0.4303544326571672,0.5696455673428328,0.7323232323232324,0.7323232323232324,1.0,0.8454810495626823,0.9318766066838046,0,145,53,0
0,XGB,young,selected,no transformation,0.6108597285067874,0.518477588423606,0.7032418685899687,0.5887850467289719,0.4576271186440678,0.6923076923076923,0.5510204081632654,0.6279069767441862,36,27,32,12
0,XGB,young,selected,low,0.5740950226244343,0.4804008822340494,0.6677891630148193,0.5420560747663551,0.421875,0.6923076923076923,0.5242718446601942,0.6136363636363635,31,27,37,12
0,XGB,young,selected,medium,0.651395173453997,0.5611023676845008,0.7416879792234932,0.6542056074766355,0.5208333333333334,0.6410256410256411,0.5747126436781609,0.6127450980392157,45,25,23,14
0,XGB,young,selected,high,0.5520361990950227,0.4578104884703291,0.6462619097197162,0.514018691588785,0.40298507462686567,0.6923076923076923,0.5094339622641508,0.6053811659192825,28,27,40,12
0,XGB,young,all,no transformation,0.45343137254901955,0.35910300574592674,0.5477597393521123,0.48598130841121495,0.30952380952380953,0.3333333333333333,0.3209876543209877,0.32828282828282823,39,13,29,26
0,XGB,young,all,low,0.4277903469079939,0.3340433719453654,0.5215373218706224,0.4672897196261682,0.275,0.28205128205128205,0.27848101265822783,0.2806122448979592,39,11,29,28
0,XGB,young,all,medium,0.4277903469079939,0.3340433719453654,0.5215373218706224,0.4672897196261682,0.275,0.28205128205128205,0.27848101265822783,0.2806122448979592,39,11,29,28
0,XGB,young,all,high,0.4277903469079939,0.3340433719453654,0.5215373218706224,0.4672897196261682,0.275,0.28205128205128205,0.27848101265822783,0.2806122448979592,39,11,29,28
0,XGB,all,selected,no transformation,0.5134072942867409,0.45731283498532116,0.5695017535881607,0.5836065573770491,0.6108949416342413,0.8532608695652174,0.7120181405895694,0.7905337361530715,21,157,100,27
0,XGB,all,selected,low,0.5418163851958319,0.48589833803276816,0.5977344323588956,0.580327868852459,0.6320754716981132,0.7282608695652174,0.6767676767676767,0.7067510548523207,43,134,78,50
0,XGB,all,selected,medium,0.5406934962270931,0.4847650155026549,0.5966219769515313,0.6131147540983607,0.6259541984732825,0.8913043478260869,0.7354260089686099,0.8216432865731462,23,164,98,20
0,XGB,all,selected,high,0.5463528566295365,0.4904798745972415,0.6022258386618314,0.6131147540983607,0.6299212598425197,0.8695652173913043,0.7305936073059359,0.8080808080808081,27,160,94,24
0,XGB,all,all,no transformation,0.5,0.4438853632372409,0.5561146367627591,0.6032786885245902,0.6032786885245902,1.0,0.7525562372188139,0.8837656099903939,0,184,121,0
0,XGB,all,all,low,0.5,0.4438853632372409,0.5561146367627591,0.6032786885245902,0.6032786885245902,1.0,0.7525562372188139,0.8837656099903939,0,184,121,0
0,XGB,all,all,medium,0.5,0.4438853632372409,0.5561146367627591,0.6032786885245902,0.6032786885245902,1.0,0.7525562372188139,0.8837656099903939,0,184,121,0
0,XGB,all,all,high,0.5,0.4438853632372409,0.5561146367627591,0.6032786885245902,0.6032786885245902,1.0,0.7525562372188139,0.8837656099903939,0,184,121,0
