,roc_auc,accuracy,precision,recall,f1,f2
4,0.7877033181522447,0.803030303030303,0.9015151515151516,0.8206896551724138,0.8592057761732852,0.8356741573033709
5,0.7722836694860117,0.797979797979798,0.8888888888888888,0.8275862068965517,0.8571428571428572,0.8391608391608392
6,0.8040338321405336,0.8181818181818182,0.9097744360902256,0.8344827586206897,0.8705035971223022,0.8485273492286115
7,0.7757319453480808,0.803030303030303,0.8897058823529411,0.8344827586206897,0.8612099644128113,0.8449720670391062
4,0.6165256994144438,0.4646464646464646,0.9333333333333332,0.2896551724137931,0.4421052631578948,0.336
5,0.6695510735198439,0.6212121212121212,0.8723404255319149,0.5655172413793104,0.6861924686192469,0.6083086053412463
6,0.653220559531555,0.6060606060606061,0.8602150537634409,0.5517241379310345,0.6722689075630253,0.5943536404160475
7,0.6205595315549773,0.5757575757575758,0.8351648351648352,0.5241379310344828,0.6440677966101696,0.5663189269746648
4,0.6452830188679246,0.7171717171717171,0.8111888111888111,0.8,0.8055555555555556,0.8022130013831259
5,0.7018867924528303,0.7474747474747475,0.8467153284671532,0.8,0.8226950354609929,0.8089260808926079
6,0.7053350683148991,0.7525252525252525,0.8478260869565217,0.8068965517241379,0.8268551236749117,0.8147632311977716
7,0.7122316200390371,0.7626262626262627,0.85,0.8206896551724138,0.8350877192982457,0.8263888888888891
4,0.7261548471047495,0.6515151515151515,0.9318181818181818,0.5655172413793104,0.7038626609442059,0.6137724550898204
5,0.7357839947950553,0.6919191919191919,0.9117647058823528,0.6413793103448275,0.7530364372469635,0.6818181818181819
6,0.7364996746909565,0.6666666666666666,0.934065934065934,0.5862068965517241,0.7203389830508475,0.6333830104321907
7,0.7348731294729993,0.6818181818181818,0.9183673469387756,0.6206896551724138,0.7407407407407407,0.6637168141592921
